,id,title,category_id,views,likes,favorites,comments,date,date_gap,duration,tags,views_scaled,likes_scaled,update_diff,time_gap_minutes,view_per_minutes
29,BvaxEg4A1lw,[불타는 청춘] 수지가 숨긴 쪽지를 제일 먼저 찾은 국진│14회,24,66283,530,0,,2022-02-10 08:00:03+00:00,612591.33,928,"['SBS', '스트로', '빽능', '빽드', '허윤정', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규', '서태화', '불타는청춘', '불청', '강수지김국진', '치와와커플']",0.38326969185685106,0.493116395494368,47.99472222222222,620663.5253342667,0.10679377358980842
30,ffitUd-osNw,[불타는 청춘] 서태화의 요리 솜씨에 반해버린 불청 멤버들│15회,24,82802,569,0,,2022-02-15 08:00:14+00:00,605391.15,924,"['SBS', '스트로', '빽능', '빽드', '허윤정', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규', '서태화', '불청', '불타는청춘', '김국진 강수지', '치와와커플']",0.6499826432336867,0.590738423028786,120.00305555555556,613463.3420009334,0.13497465020472899
31,B5KrC7mZDx8,[불타는 청춘] 귀신 도균과 함께하는 폐가 체험│15회,24,33366,288,0,,2022-02-17 08:00:04+00:00,602511.31,967,"['SBS', '스트로', '빽능', '빽드', '허윤정', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규', '서태화', '불타는청춘', '불청', '김국진 강수지', '치와와커플', '불청 다시보기']",-0.14820256557224856,-0.11264080100125157,47.99722222222222,610583.5086676,0.05464608776088704
32,T7vVHCYCib4,[불타는 청춘] 국진과 수지의 첫 데이트💗│16회,24,283331,2040,0,,2022-02-22 08:00:23+00:00,595311.0,1151,"['SBS', '스트로', '빽능', '빽드', '허윤정', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규', '서태화', '불청', '불타는청춘', '김국진 강수지', '치와와커플']",3.88768961258083,4.272841051314143,120.00527777777778,603383.1920009333,0.46957058757374487
33,33oOEgmn8Bc,[불타는 청춘] 열정적으로 수박 먹는 동갑내기 친구 서태화와 강수지│16회,24,32981,268,0,,2022-02-24 08:00:02+00:00,592431.35,914,"['SBS', '스트로', '빽능', '빽드', '허윤정', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규', '서태화', '불청', '불타는청춘', '김국진 강수지', '치와와커플']",-0.15441870978679434,-0.16270337922403003,47.994166666666665,600503.5420009333,0.05492224057514175
34,2UnQjEVeRUw,[불타는 청춘] 돌아온 금석을 보고 깜짝 놀란 도균│17회,24,74037,651,0,,2022-03-01 08:00:02+00:00,585231.35,979,"['SBS', '스트로', '빽능', '빽드', '양금석', '정수라', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규', '불청', '불타는청춘']",0.5084644509207159,0.7959949937421777,120.0,593303.5420009333,0.12478772627971861
35,A_0l0J8p2M0,[불타는 청춘] 복분자 먹고 힘 자랑 하는 멤버들│17회,24,112143,758,0,,2022-03-03 08:00:06+00:00,582351.29,1028,"['SBS', '스트로', '빽능', '빽드', '양금석', '정수라', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규']",1.1237174156985896,1.0638297872340425,48.00111111111111,590423.4753342667,0.18993655348224517
36,CASyCBamO8g,[불타는 청춘] 감탄에 감탄을 불러오는 새 친구 정수라의 여전한 노래 실력│18회,24,82663,642,0,,2022-03-08 08:00:09+00:00,575151.24,1043,"['SBS', '스트로', '빽능', '빽드', '양금석', '정수라', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규', '서태화']",0.6477383729847987,0.7734668335419274,120.00083333333333,583223.4253342667,0.14173470476194058
37,LKKMlwXXJhw,[불타는 청춘] 김일우의 고음이 폭발할 때마다 웃음이 터지는 멤버들│18회,24,122787,883,0,,2022-03-10 08:00:07+00:00,572271.28,1166,"['SBS', '스트로', '＂KIM JONG KOOK＂', '金鍾國', '빽능', '빽드', '양금석', '정수라', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규', '서태화', '불청', '불타는청춘']",1.2955736209443696,1.376720901126408,47.99944444444444,580343.4586676001,0.21157643489581915
38,v44SbXIeTk0,[불타는 청춘] 금석만을 위한 요리를 준비한 도균│19회,24,56221,452,0,,2022-03-15 08:00:13+00:00,565071.18,984,"['SBS', '스트로', '빽능', '빽드', '양금석', '정수라', '강수지', '김혜선', '김완선', '김도균', '김국진', '김일우', '김동규', '서태화', '불청', '불타는청춘']",0.22081035916396896,0.2978723404255319,120.00166666666667,573143.3586676001,0.09809238674718013
39,ENOqxCgqNlQ,[불타는 청춘] 언제든지 늑대로 변할 수 있는 국진│19회,24,65942,473,0,,2022-03-17 08:00:07+00:00,562191.28,1003,"['SBS', 'yt:cc=on', '金鍾國', '강수지', '김국진', '김도균', '김동규', '김완선', '김일우', '김혜선', '불청', '불타는청춘', '빽능', '빽드', '서태화', '스트로', '양금석', '정수라', '＂KIM JONG KOOK＂']",0.3777639641239677,0.3504380475594493,47.998333333333335,570263.4586676001,0.11563427219073637
40,KhyROK1WUEQ,[불타는 청춘] 배 타고 여행 가는 것에 신난 멤버들😁근데 배를 2번이나 타야 한다고..?│20회,24,52283,423,0,,2022-03-22 08:00:06+00:00,554991.3,903,"['SBS', 'yt:cc=on', '강수지', '김국진', '김국진 강수지', '김도균', '김선경', '김완선', '김일우', '박세준', '불청', '불청 김국진 강수지', '불청 다시보기', '불타는 청춘', '빽능', '빽드', '서태화', '스트로', '양금석', '정수라', '치와와커플']",0.15722808405518646,0.22528160200250313,119.99972222222222,563063.4753342667,0.09285454001249473
41,1vrm17Eb2zQ,[불타는 청춘] 금석에게 돌직구로 고백하는 도균의 NEW 라이벌⚡새 친구 박세준│20회,24,126265,693,0,,2022-03-24 08:00:00+00:00,552111.4,1004,"['SBS', 'yt:cc=on', '강수지', '김국진', '김국진 강수지', '김도균', '김선경', '김완선', '김일우', '박세준', '불청', '불청 김국진강수지', '불청 다시보기', '불청 커플', '불타는청춘', '빽능', '빽드', '서태화', '스트로', '양금석', '정수라', '치와와커플']",1.3517288146539546,0.9011264080100125,47.998333333333335,560183.5753342666,0.22539932543480326
42,ta_2yXeMFpM,[불타는 청춘] 애교 있는 남자에 도전하는 국진에게 40금 돌직구 날리는 선경│21회,24,58057,399,0,,2022-03-29 08:00:13+00:00,544911.18,802,"['SBS', '스트로', '빽능', '빽드', '양금석', '정수라', '강수지', '김선경', '김완선', '김도균', '김국진', '김일우', '박세준', '서태화', '불타는청춘', '불청', '김국진강수지', '불청 김국진 강수지', '불청 커플', '불청 다시보기']",0.2504541014442444,0.16520650813516896,120.00361111111111,552983.3586676001,0.10498869286028231
43,5ZDYkjsz1TE,[불타는 청춘] 외출 한 번 하고 오면 일단 바닥과 한 몸이 되어 누워야 합니다│21회,24,64820,455,0,,2022-03-31 08:00:01+00:00,542031.38,1437,"['SBS', '스트로', '빽능', '빽드', '양금석', '정수라', '강수지', '김선경', '김완선', '김도균', '김국진', '김일우', '박세준', '서태화', '불타는 청춘', '불청', '김국진 강수지', '불청 김국진 강수지', '불청 다시보기', '불청 커플', '불타는 청춘 다시보기']",0.3596483438415771,0.3053817271589487,47.99666666666667,550103.5586676,0.1178323589780074
44,8P4Z2XV4kuw,[불타는 청춘] 선경이 기싱 꿍꼬또👻선경이 술 한 모금도 안 마셨오│22회,24,141533,706,0,,2022-04-05 08:00:05+00:00,534831.32,1231,"['SBS', 'yt:cc=on', '강수지', '김국진', '김국진강수지', '김도균', '김선경', '김완선', '김일우', '박세준', '불청', '불타는청춘', '빽능', '빽드', '서태화', '스트로', '양금석', '정수라', '치와와커플']",1.5982433337907984,0.9336670838548186,120.00111111111111,542903.4920009334,0.26069642594923054
45,IXDCeuvSvFo,[불타는 청춘] 40세 이하 게임은 힘이 들어서 못하겠다│22회,24,32625,286,0,,2022-04-07 08:00:05+00:00,531951.32,842,"['SBS', '스트로', '金鍾國', '빽능', '빽드', '양금석', '정수라', '강수지', '김선경', '김완선', '김도균', '김국진', '김일우', '박세준', '서태화', '불타는청춘', '불청', '김국진강수지', '치와와커플']",-0.16016662495660808,-0.11764705882352941,48.0,540023.4920009334,0.06041403843213475
46,2S_zLC8FepI,[불타는 청춘] 김일우와 한 방을 같이 쓴 적이 있다는 새 친구 윤예희│23회,24,65323,412,0,,2022-04-12 08:00:01+00:00,524751.39,1005,"['RUNNINGMAN', 'SBS', 'yt:cc=on', '刘在石', '李光洙', '金鍾國', '강수지', '김국진', '김동규', '김완선', '김일우', '박세준', '박형준', '불청', '빽능', '빽드', '스트로', '양금석', '윤예희', '치와와커플', '＂KIM JONG KOOK＂', '＂LEE KWANG SOO＂']",0.3677696958933084,0.19774718397997496,119.99888888888889,532823.5586676,0.12259780735549552
47,l80SUMnRVFM,[불타는 청춘] 나이가 들어 중년이 되어도 부모님 눈에는 늘 걱정스러운 자식일 뿐 │23회,24,29129,254,0,,2022-04-14 08:00:14+00:00,521871.18,757,"['SBS', '스트로', 'RUNNINGMAN', '刘在石', '＂LEE KWANG SOO＂', '李光洙', '＂KIM JONG KOOK＂', '金鍾國', '빽능', '빽드', '양금석', '윤예희', '강수지', '김완선', '김국진', '김일우', '박세준', '박형준', '김동규', '불청', '불타는청춘']",-0.2166124435905095,-0.19774718397997496,48.00361111111111,529943.3420009334,0.05496625335458728
48,tPYN2fzTArE,[불타는 청춘] 김완선 머리 스타일링 해주는 김동균│24회,24,42365,371,0,,2022-04-19 08:00:23+00:00,514671.03,987,"['RUNNINGMAN', 'SBS', 'yt:cc=on', '刘在石', '李光洙', '金鍾國', '강수지', '김국진', '김동규', '김완선', '김일우', '박세준', '박형준', '빽능', '빽드', '스트로', '양금석', '윤예희', '＂KIM JONG KOOK＂', '＂LEE KWANG SOO＂']",-0.0029062492431642596,0.0951188986232791,120.0025,522743.19200093334,0.08104361883286729
49,HxooBdP5jKI,[불타는 청춘] 김국진의 마음의 문이 열렸는지 궁금한 강수지의 돌직구 질문│24회,24,64886,480,0,,2022-04-21 08:00:10+00:00,511791.25,950,"['RUNNINGMAN', 'SBS', 'yt:cc=on', '刘在石', '李光洙', '金鍾國', '강수지', '김국진', '김동규', '김완선', '김일우', '박세준', '박형준', '빽능', '빽드', '스트로', '양금석', '윤예희', '＂KIM JONG KOOK＂', '＂LEE KWANG SOO＂']",0.3607139685640707,0.36795994993742176,47.99638888888889,519863.4086676,0.12481355471103761
50,t222uxB_gG0,[불타는 청춘] 금석만을 위한 노래를 준비해 아침에 불러주는 도균│25회,24,61843,527,0,,2022-04-26 08:00:16+00:00,504591.15,1032,"['SBS', '스트로', 'RUNNINGMAN', '刘在石', '＂LEE KWANG SOO＂', '李光洙', '＂KIM JONG KOOK＂', '金鍾國', '빽능', '빽드', '양금석', '윤예희', '강수지', '김완선', '김국진', '김일우', '박세준', '박형준', '김도균', '불청', '불타는청춘', '치와와커플', '김국진 강수지']",0.31158221052546603,0.4856070087609512,120.00166666666667,512663.30866760004,0.12063082915125818
51,R19wyNeodDk,[불타는 청춘] 이어달리기 한 번 했더니 체력이 끝났습니다🏃‍♂️🏃‍♀️│25회,24,35791,286,0,,2022-04-28 08:00:10+00:00,501711.25,771,"['SBS', '스트로', 'RUNNINGMAN', '刘在石', '＂LEE KWANG SOO＂', '李光洙', '＂KIM JONG KOOK＂', '金鍾國', '빽능', '빽드', '양금석', '윤예희', '강수지', '김완선', '김국진', '김일우', '박세준', '박형준', '김도균', '불타는 청춘', '치와와커플']",-0.1090489299351745,-0.11764705882352941,47.998333333333335,509783.4086676,0.07020824803526947
52,hrFCCOILqoY,[불타는 청춘] 팬이라는 김보연의 말에 좋아 죽는 김국진 │26회,24,76451,539,0,,2022-05-03 08:00:12+00:00,494511.22,1002,"['SBS', '스트로', 'RUNNINGMAN', '刘在石', '＂LEE KWANG SOO＂', '李光洙', '＂KIM JONG KOOK＂', '金鍾國', '빽능', '빽드', '양금석', '김보연', '강수지', '김완선', '김국진', '김일우', '박세준', '박형준', '김도균', '불타는청춘', '불청', '김국진 치와와']",0.5474404824373744,0.5156445556946183,120.00055555555555,502583.3753342667,0.1521160542748806
53,G6vHxzqU7D8,[불타는 청춘] 책과 점점 멀어져야 보이는 글씨│26회,24,35802,290,0,,2022-05-05 08:00:09+00:00,491631.27,1006,"['SBS', '스트로', 'RUNNINGMAN', '刘在石', '＂LEE KWANG SOO＂', '李光洙', '＂KIM JONG KOOK＂', '金鍾國', '빽능', '빽드', '양금석', '김보연', '강수지', '김완선', '김국진', '김일우', '박세준', '박형준', '김도균', '불청', '불타는청춘', '김국진 강수지', '치와와커플']",-0.1088713258147589,-0.10763454317897372,47.99916666666667,499703.4253342667,0.07164649707184009
54,sqFW8KBUG3U,[불타는 청춘] 비 오는 날 옛 추억을 떠올리며 노래 부르는 김보연│27회,24,98425,747,0,,2022-05-10 08:00:14+00:00,484431.19,1021,"['SBS', '스트로', 'RUNNINGMAN', '刘在石', '＂LEE KWANG SOO＂', '李光洙', '＂KIM JONG KOOK＂', '金鍾國', '빽능', '빽드', '양금석', '김보연', '강수지', '김완선', '김국진', '김일우', '박세준', '박형준', '김도균', '불청', '불타는청춘', '김국진강수지']",0.9022289317112157,1.0362953692115144,120.00138888888888,492503.34200093336,0.19984635962087233
55,uQ2IGHACy0c,[불타는 청춘] 사랑해 게임하면서 부끄러움 폭발하는 강수지│27회,24,41484,357,0,,2022-05-12 08:00:18+00:00,481551.12,773,"['RUNNINGMAN', 'SBS', 'yt:cc=on', '刘在石', '李光洙', '金鍾國', '강수지', '김국진', '김국진강수지', '김도균', '김보연', '김완선', '김일우', '박세준', '박형준', '불청', '불타는청춘', '빽능', '빽드', '스트로', '양금석', '정수라', '＂KIM JONG KOOK＂', '＂LEE KWANG SOO＂']",-0.017130724705540442,0.060075093867334166,48.00111111111111,489623.2753342667,0.08472636430872041
56,7FMwxEXG1fY,[불타는 청춘] 어머니는 본 적이 없는 형준의 여자친구│28회,24,37681,307,0,,2022-05-17 08:00:01+00:00,474351.41,1125,"['SBS', '스트로', 'RUNNINGMAN', '刘在石', '＂LEE KWANG SOO＂', '李光洙', '＂KIM JONG KOOK＂', '金鍾國', '빽능', '빽드', '양금석', '김보연', '강수지', '김완선', '김국진', '김일우', '박세준', '박형준', '김도균', '불타는청춘', '치와와커플']",-0.07853331288194977,-0.06508135168961202,119.99527777777777,482423.55866760004,0.0781077112072858
57,Ha8eRGt59po,[불타는 청춘] 세준 어머니의 노래 실력에 깜짝 놀라는 불청 멤버들│28회,24,265616,2344,0,,2022-05-19 08:00:03+00:00,471471.37,1162,"['RUNNINGMAN', 'SBS', 'yt:cc=on', '刘在石', '李光洙', '金鍾國', '강수지', '김국진', '김도균', '김보연', '김완선', '김일우', '박세준', '박형준', '빽능', '빽드', '스트로', '양금석', '＂KIM JONG KOOK＂', '＂LEE KWANG SOO＂']",3.601666249566081,5.033792240300375,48.00055555555556,479543.5253342667,0.5538934131471213
