,id,title,category_id,views,likes,favorites,comments,date,date_gap_hours,duration,tags,views_scaled,likes_scaled,update_diff,time_gap_minutes,view_per_minutes,vpm_scaled
22,3293XwJTRyg,시베리안 허스키 2부｜강형욱의 견종백과 X 노잼봇,15,336728,4220,0,,2019-03-29 09:30:00+00:00,2124088.82,800,"['강형욱', '강형욱훈련사', '보듬', '보듬컴퍼니', 'BODEUM', '강아지', '반려견', '개', 'Dog', 'puppy', 'いぬ', '犬', '子犬', '小犬', 'こいぬ', '교육', '훈련', '세나개', 'discipline', 'training', '訓練', '教育', '반려동물', 'dogyoutube', '강아지유튜브', 'doggy', 'ボドゥム', 'カン・ヒョンウク', 'hunterkang', '견종백과', 'breeds', 'breed', '시베리안허스키', '허스키', '허숙희', '강형욱의견종백과', '노잼봇', '청명', 'Siberian husky', '西伯利亚雪橇犬', '二哈', 'husky de sibérie', 'ハスキー', 'かすれ声', 'chó husky sibir', 'хри́плый', 'Husky siberiano', 'เสียงแหบ', '특징', '종류', '견종', '털빠짐', '털', '하울링', '말라뮤트', '리바이스501', '리바이스청바지', 'LG청소기', '엘지청소기', '삼성청소기', '테팔에어포스', '일렉트로룩스청소기', '청소기추천', '청소기요정', '무선청소기', '유선청소기', '강형욱청소기']",-0.39631361219574324,-0.46827932450935644,167.9988888888889,2142710.3372281333,0.15715049960304026,-0.16135001966434095
23,l_Bt6544jFg,시바 이누(시바견) 1부｜강형욱의 견종백과 X 시바견곰이탱이여우,15,2344522,20141,0,,2019-06-28 09:30:26+00:00,1993048.38,681,"['강형욱', '강형욱훈련사', '보듬', '보듬컴퍼니', 'BODEUM', '강아지', '반려견', '개', 'Dog', 'puppy', 'いぬ', '犬', '子犬', '小犬', 'こいぬ', '교육', '훈련', '세나개', 'discipline', 'training', '訓練', '教育', '반려동물', 'dogyoutube', '강아지유튜브', 'doggy', 'ボドゥム', 'カン・ヒョンウク', 'hunterkang', 'Koreandogtrainer', '시바견입양', '시바견분양', '시바이누입양', '시바이누분양', '시바견특징', '시바이누특징', '시바이누성격', '시바견성격', '고마시바', '참깨시바', '시로시바', '백시바', '쿠로시바', '흑시바', '블랙탄', '적시바', '아카시바', '시바이누털색', '시바견털색', '시바견종류', '시바이누종류', '일본토착견', '일본토종견', '일본토종개', 'シバイヌ', '柴犬', '芝犬', 'しばいぬ', 'しば', 'Shiba Inu', 'Shiba', '일본개']",0.8984484476415566,0.6496506688199979,2184.007222222222,2011669.9038948,1.1654605934406854,0.3523550085782749
24,J5q34GwAoB8,시바 이누(시바견) 2부｜강형욱의 견종백과 X 시바견곰이탱이여우,15,941897,10845,0,,2019-07-05 09:30:02+00:00,1982968.78,833,"['강형욱', '강형욱훈련사', '보듬', '보듬컴퍼니', 'BODEUM', '강아지', '반려견', '개', 'Dog', 'puppy', 'いぬ', '犬', '子犬', '小犬', 'こいぬ', '교육', '훈련', '세나개', 'discipline', 'training', '訓練', '教育', '반려동물', 'dogyoutube', '강아지유튜브', 'doggy', 'ボドゥム', 'カン・ヒョンウク', 'hunterkang', 'Koreandogtrainer', '시바견입양', '시바견분양', '시바견특성', '시바견성격', '시바견교육', '시바이누입양', '시바이누분양', '시바이누특성', '시바이누성격', '시바이누교육', 'Shiba Inu', 'Shiba', 'しばいぬ', '芝犬', '柴犬', '토착견', '토착견종류', '일본개', '일본개종류']",-0.006059501968459507,-0.003089562194993505,167.99333333333334,2001590.3038948,0.47057432191153564,-0.0016695855648494145
25,NAjZcaEq_Nc,[Eng sub/日本語字幕] 골든 리트리버 1부｜강형욱의 견종백과 X 리틀라이언 레아레토,15,2743413,24203,0,,2019-10-16 09:33:15+00:00,1834645.56,921,"['강형욱', '강형욱훈련사', '보듬', '보듬컴퍼니', 'BODEUM', '강아지', '반려견', '개', 'Dog', 'puppy', 'いぬ', '犬', '子犬', '小犬', 'こいぬ', '교육', '훈련', '세나개', 'discipline', 'training', '訓練', '教育', '반려동물', 'dogyoutube', '강아지유튜브', 'doggy', 'ボドゥム', 'カン・ヒョンウク', 'hunterkang', 'Koreandogtrainer', '골든리트리버', '골댕이', '물트리버', '리트리버수영', '수영하는강아지', '골든리트리버성격', '골든리트리버입양', '리트리버성격', '천사견', '리트리버경찰견', '리트리버수색견', '리트리버군견', '골든리트리버공격성', '리트리버공격성']",1.1556804808135654,0.9348734332759892,2472.053611111111,1853267.0872281333,1.4803117256580791,0.5127626160756553
26,VZF0ST0-5vc,[Eng sub/日本語字幕] 골든 리트리버 2부｜강형욱의 견종백과 X 리틀라이언 레아레토,15,820887,8426,0,,2019-10-23 09:33:41+00:00,1824565.12,841,"['강형욱', '강형욱훈련사', '보듬', '보듬컴퍼니', 'BODEUM', '강아지', '반려견', '개', 'Dog', 'puppy', 'いぬ', '犬', '子犬', '小犬', 'こいぬ', '교육', '훈련', '세나개', 'discipline', 'training', '訓練', '教育', '반려동물', 'dogyoutube', '강아지유튜브', 'doggy', 'ボドゥム', 'カン・ヒョンウク', 'hunterkang', 'Koreandogtrainer', '골든리트리버', '골댕이', '물트리버', '리트리버수영', '수영하는강아지', '골든리트리버성격', '골든리트리버입양', '리트리버성격', '천사견', '리트리버경찰견', '리트리버수색견', '리트리버군견', '골든리트리버공격성', '리트리버공격성']",-0.08409497615600646,-0.17294526559702278,168.00722222222223,1843186.6538948,0.44536292527151305,-0.014514067934063858
27,XkHgmgsuv5E,사모예드 털 편 (털빠짐  목욕고충  한국더위)｜강형욱의 견종백과 X 극한견주 솜이 X 백곰이,15,2273406,23782,0,,2020-03-16 09:30:02+00:00,1615768.77,728,"['강형욱', '강형욱훈련사', '보듬', '보듬컴퍼니', 'BODEUM', '강아지', '반려견', '개', 'Dog', 'puppy', 'いぬ', '犬', '子犬', '小犬', 'こいぬ', '교육', '훈련', '세나개', 'discipline', 'training', '訓練', '教育', '반려동물', 'dogyoutube', '강아지유튜브', 'doggy', 'ボドゥム', 'カン・ヒョンウク', 'hunterkang', 'Koreandogtrainer', '개훌륭', '개는훌륭하다', '강아지강씨', 'Dogs Are Incredible', 'KBS', 'Kang Hyong Wook', '반려견행동전문가', '훈련사', 'trainer', 'handler', 'Trained attendant', 'doggy guru', 'guru', '썰매견', '사모예드', '대형견', '중형견', '대형견종류', '대형견털빠짐', '대형견미용', '대형견목욕', '대형견빗질', '사모예드털갈이', '사모예드털빠짐', '사모예드미용', '사모예드목욕', '사모예드솜이', '극한견주', '솜이', '마일로', '사모예드 더위', '사모예드 한국', '사모예드 입양', '극한견주작가', 'Samoyed', 'サモエード', 'samoyed hair', 'Sled dog', 'Samoyed Features']",0.8525880164183387,0.9053119404557104,3479.9391666666666,1634390.3038948,1.39098108608599,0.4672512213125082
28,GNgr4d5kboI,사모예드 대형견&파워  편 (폭풍성장 전력질주)｜강형욱의 견종백과 X 극한견주 솜이 X 백곰이,15,1238222,14690,0,,2020-03-23 09:33:22+00:00,1605685.43,662,"['강형욱', '강형욱훈련사', '보듬', '보듬컴퍼니', 'BODEUM', '강아지', '반려견', '개', 'Dog', 'puppy', 'いぬ', '犬', '子犬', '小犬', 'こいぬ', '교육', '훈련', '세나개', 'discipline', 'training', '訓練', '教育', '반려동물', 'dogyoutube', '강아지유튜브', 'doggy', 'ボドゥム', 'カン・ヒョンウク', 'hunterkang', 'Koreandogtrainer', '개훌륭', '개는훌륭하다', '강아지강씨', 'Dogs Are Incredible', 'KBS', 'Kang Hyong Wook', '반려견행동전문가', '훈련사', 'trainer', 'handler', 'Trained attendant', 'Samoyed', 'サモエード', 'Sled dog', 'Samoyed Features', '대형견 성장속도', '사모예드 성장속도', '사모예드 폭풍성장', '대형견 힘', '대형견 파워', '대형견에너지', '폭풍성장', '전력질주', '사모예드', '극한견주', '극한견주솜이', '극한견주마일로', '극한견주웹툰', '대형견유튜버', '대형견채널', '사모예드입양', '사모예드분양', '사모예드특성', '사모예드성격', '새끼사모예드', '사모예드강아지', '사모예드사고', '대형견종류', '썰매견']",0.1850310020281098,0.26689604325387073,168.05555555555554,1624306.9705614666,0.7623078780312009,0.14696028098283406
29,jrO8TeJ50DI,사모예드 성격 편 (사회성 의심쟁이 사람이좋아)｜강형욱의 견종백과 X 극한견주 솜이 X 백곰이,15,1057838,12616,0,,2020-03-30 09:30:05+00:00,1595608.71,637,"['강형욱', '강형욱훈련사', '보듬', '보듬컴퍼니', 'BODEUM', '강아지', '반려견', '개', 'Dog', 'puppy', 'いぬ', '犬', '子犬', '小犬', 'こいぬ', '교육', '훈련', '세나개', 'discipline', 'training', '訓練', '教育', '반려동물', 'dogyoutube', '강아지유튜브', 'doggy', 'ボドゥム', 'カン・ヒョンウク', 'hunterkang', 'Koreandogtrainer', '개훌륭', '개는훌륭하다', '강아지강씨', 'Dogs Are Incredible', 'KBS', 'Kang Hyong Wook', '반려견행동전문가', '훈련사', 'trainer', 'handler', 'Trained attendant', 'doggy guru', 'guru', 'Samoyed', 'サモエード', 'Sled dog', 'Samoyed Features', '사모예드', '극한견주', '극한견주솜이', '극한견주마일로', '극한견주웹툰', '대형견유튜버', '대형견채널', '사모예드입양', '사모예드분양', '사모예드특성', '사모예드성격', '새끼사모예드', '사모예드강아지', '대형견종류', '낯가림', '의심병', '의심', '사회성', '사회화', '예절교육', '친화력', '의심쟁이', '사람사회화', '사모예드애견운동장', '사모예드친화력', '사모예드의심병']",0.06870713643149406,0.12126531615349506,167.9452777777778,1614230.2538947999,0.6553203902898352,0.09245322928546779
30,GGd0vETcRQA,코카 스파니엘 파괴력&에너지 편(집안 살림 바사삭 주의)｜강형욱의 견종백과 X 이승인 누가 X 하늘이,15,465848,6730,0,,2020-07-03 09:30:00+00:00,1458808.79,668,"['강형욱', '강형욱훈련사', '보듬', '보듬컴퍼니', 'BODEUM', '강아지', '반려견', '개', 'Dog', 'puppy', 'いぬ', '犬', '子犬', '小犬', 'こいぬ', '교육', '훈련', '세나개', 'discipline', 'training', '訓練', '教育', '반려동물', 'dogyoutube', '강아지유튜브', 'doggy', 'ボドゥム', 'カン・ヒョンウク', 'hunterkang', 'Koreandogtrainer', '개훌륭', '개는훌륭하다', '강아지강씨', 'Dogs Are Incredible', 'KBS', 'Kang Hyong Wook', '반려견행동전문가', '훈련사', 'trainer', 'handler', 'Trained attendant', 'doggy guru', 'guru', 'dog whisperer', '코카스파니엘', '아메리칸 코카스파니엘', '잉글리쉬 코카스파니엘', 'American Cocker Spaniel', 'Cocker Spaniel', 'English Cocker Spaniel', 'コッカースパニエル', 'คอเสื้อสแพนีล', '科克·斯巴内尔', '3대지랄견', '5대지랄견', '지랄견', '파워', '에너지', '힘', '입양', '코카스파니엘새끼', '분양', '코카스파니엘성격', '털빠짐']",-0.3130482586952386,-0.2920338447494997,2279.998611111111,1477430.3372281333,0.31530962121300166,-0.08077249045976405
31,THoHZZQ2ibw,코카 스파니엘 식욕&성격 편(휴지의 비명 감정공감 최고)｜강형욱의 견종백과 X 이승인 누가 X 하늘이,15,237324,3560,0,,2020-07-10 09:30:01+00:00,1448728.77,642,"['강형욱', '강형욱훈련사', '보듬', '보듬컴퍼니', 'BODEUM', '강아지', '반려견', '개', 'Dog', 'puppy', 'いぬ', '犬', '子犬', '小犬', 'こいぬ', '교육', '훈련', '세나개', 'discipline', 'training', '訓練', '教育', '반려동물', 'dogyoutube', '강아지유튜브', 'doggy', 'ボドゥム', 'カン・ヒョンウク', 'hunterkang', 'Koreandogtrainer', '개훌륭', '개는훌륭하다', '강아지강씨', 'Dogs Are Incredible', 'KBS', 'Kang Hyong Wook', '반려견행동전문가', '훈련사', 'trainer', 'handler', 'Trained attendant', 'dog whisperer', '코카스파니엘', '아메리칸 코카스파니엘', '잉글리쉬 코카스파니엘', 'American Cocker Spaniel', 'Cocker Spaniel', 'English Cocker Spaniel', 'コッカースパニエル', '3대지랄견', '5대지랄견', '지랄견', 'TOP10', '입양', '코카스파니엘강아지', '분양 코카스파니엘 성격', '식탐', '털빠짐', '골든리트리버', '공격성', 'คอเสื้อสแพนีล', 'guru']",-0.4604160688203108,-0.514622757434259,168.00027777777777,1467350.3205614665,0.16173642835965063,-0.1590136206975639
