,id,title,category_id,views,likes,favorites,comments,date,date_gap,duration,tags,views_scaled,likes_scaled,update_diff,time_gap_minutes,view_per_minutes,vpm_scaled
16,fF6xuk75zj4,남자들이 동료를 좋아하는 이유,23,1152874,39266,0,,2023-02-21 12:00:33+00:00,70910.15,29,,-0.27831536284993325,-0.17032919757016743,120.00888888888889,90559.80305928334,12.730526801668196,-0.1978812286197295
17,m5yUnrdnSDU,남자들이 거짓말을 좋아하는 이유,23,1891828,69695,0,,2023-02-25 12:00:35+00:00,65150.12,28,,0.565801212450752,0.8769424033315552,96.00055555555555,84799.76972595,22.309353033786273,0.5348989313067036
18,tkorfQsWNdo,남자들이 칭찬을 좋아하는 이유,23,1265221,44215,0,,2023-03-01 12:00:39+00:00,59390.05,32,,-0.14997995241125087,0.0,96.00111111111111,79039.70305928333,16.00741084580021,0.052800384735779735
19,JAHaqZbNbws,남자들이 허세를 좋아하는 이유,23,2311706,69554,0,,2023-03-05 12:00:20+00:00,53630.37,38,,1.0454332049754573,0.8720896215862746,95.99472222222222,73280.01972595,31.546197840082954,1.241517513829737
20,o_ymrp0qRy8,남자들이 청소를 좋아하는 이유,23,1917320,56218,0,,2023-03-08 12:00:37+00:00,49310.09,46,,0.5949210490543364,0.4131059524014386,72.00472222222223,68959.73639261667,27.803470551045816,0.9551988945164797
21,sIRErEvmF4I,남자들이 비행을 좋아하는 이유,23,1526666,55506,0,,2023-03-12 12:00:40+00:00,43550.04,44,,0.14867200431337294,0.3886011254323622,96.00083333333333,63199.68639261667,24.15622746157097,0.6761848160029182
22,AQntXssgiXM,김한강 시리즈 시즌2 모음집,23,187071,2431,0,,2023-03-15 09:00:05+00:00,39410.63,619,,-1.381564443002592,-1.4380754074099569,68.99027777777778,59060.26972595,3.1674592897736877,-0.9294558465261035
23,McibZIq-C0g,남자들이 군대를 좋아하는 이유,23,1182204,44154,0,,2023-03-22 12:00:30+00:00,29150.21,57,,-0.24481132991477206,-0.0020994304004405364,171.00694444444446,48799.853059283334,24.22556474839848,0.6814891181062347
24,-4chK9_aO9Q,남자들이 타투를 좋아하는 이유,23,1212366,43106,0,,2023-03-26 12:00:00+00:00,23390.71,38,,-0.21035689277224454,-0.03816833301784516,95.99166666666666,43040.353059283334,28.168123954050742,0.9830948780635768
25,v243Z8MjkJk,남자들이 공부를 좋아하는 이유,23,647478,22111,0,,2023-03-30 12:00:43+00:00,17630.0,43,,-0.8556356570640049,-0.7607509765793051,96.01194444444444,37279.63639261667,17.368141501729742,0.15689627326181685
