,title,category_id,views,likes,favorites,comments,date,duration,tags
42,A Day With BTS’s Jimin in NYC | Vogue,24,1426447,199034,0,NaN,2023-04-08T16:00:02Z,372,"['a day with bts', 'a day with jimin', 'bts jimin', 'bts jimin interview', 'bts jimin vogue', 'bts jimmy fallon', 'bts new york city', 'face jimin', 'hanging out with jimin', 'jimin', 'jimin 24 hours with', 'jimin dancing', 'jimin face', 'jimin interview', 'jimin jimmy fallon', 'jimin like crazy', 'jimin like crazy rehearsal', 'jimin manhattan', 'jimin nyc', 'jimin singing', 'jimin singing and dancing', 'jimin vogue', 'jimin vogue hang out', 'jimmy fallon jimin bts', 'vogue', 'vogue face', 'vogue jimin']"
43,Smash Marry Kill with random objects !!,23,646676,47896,0,NaN,2023-04-07T21:30:04Z,1296,"['nick sturniolo', 'matt sturniolo', 'Matthew sturniolo', 'Nicolas sturniolo', 'chris sturniolo', 'Christopher sturniolo', 'nick matt and chris sturniolo', 'sturniolo', 'sturniolos', 'sturniolo triplets', 'sturniolo triplets best moments', 'Sturniolo triplets', 'sturniolo triplets best clips', 'sturniolo triplets tiktok', 'triplets', 'triplets from tiktok']"
44,My Daughter Opens a Starbucks For 24 Hours *bad idea*,24,3285116,64719,0,NaN,2023-04-08T14:00:08Z,848,"['salish matter', 'saysay matter', 'say say matter', 'hudson matter', 'jordan matter', 'rebecca zamolo', 'labrant family', 'anas', 'asala', 'anazala family', 'anasala family', 'matt slays', 'elliana walmsley', 'dance moms', 'jentzen rameriez', 'collins key', 'devan key', 'starbucks', 'transformation', 'father daughter', 'coffee', 'espresso', 'mila marwah']"
45,Try Guys Become Groomsmen for Zach’s Wedding,23,1030794,66523,0,NaN,2023-04-08T15:00:06Z,919,"['try guys', 'keith', 'ned', 'zach', 'eugene', 'habersberger', 'fulmer', 'kornfeld', 'yang', 'buzzfeedvideo', 'buzzfeed', 'ariel', 'ned & ariel', 'comedy', 'education', 'funny', 'try', 'learn', 'fail', 'experiment', 'test', 'tryceratops', 'wedding', 'love', 'marriage', 'mexico', 'nayarit', 'iguana', 'wedding dress', 'bow tie', 'groomsmen', 'destination', 'bridesmaids', 'best man', 'maid of honor', 'celebration', 'cake']"
46,i FINALLY beat DOORS SUPER HARD MODE! (much raging),20,385922,7226,0,NaN,2023-04-08T09:04:44Z,2722,['roblox doors super hard mode']
47,Why California Has So Many Problems,27,1091899,36598,0,NaN,2023-04-07T15:51:33Z,1515,NaN
48,Building Automatic Farms on ONE BLOCK Minecraft,20,1311516,45935,0,NaN,2023-04-07T12:00:34Z,1665,"['acookiegod', 'a cookie god', 'a cookie god minecraft', 'cookie minecraft', 'minecraft cookie', 'minecraft cookie god', 'cookie god', 'acookiegod series', 'acookiegod hardcore', 'minecraft hardcore', 'hardcore minecraft', 'minecraft', 'extracookie', 'minecraft one block', 'one block', 'one block in minecraft hardcore', 'minecraft one block skyblock', 'one block series', 'acookiegod one block', 'minecraft one block bts', 'i built automatic farms on one block in hardcore minecraft', 'automatic farms one block', 'cookieclips']"
49,Trope Talk: Those Dang Phones,27,374675,31786,0,NaN,2023-04-07T15:00:03Z,2013,"['Funny', 'Summary', 'OSP', 'Overly Sarcastic Productions', 'Analysis', 'Literary Analysis', 'Myths', 'Legends', 'Classics', 'Literature', 'Stories', 'Storytelling', 'History', 'Mythology']"
50,The Inside Guys Discuss MVP Race + Eastern Conference Standings | NBA on TNT,17,646100,8201,0,NaN,2023-04-07T00:08:53Z,613,"['NBA on TNT', 'NBA', 'Inside the NBA', 'Charles Barkley', 'Shaq', 'Kenny Smith', 'Ernie Johnson']"
51,I made the Easter Bunny and it's terrifying,26,482908,31430,0,NaN,2023-04-07T15:00:13Z,1170,"[""I made the Easter Bunny but it's terrifying"", 'easter', 'bunny', 'rabbit', 'monster', 'diorama', 'room', 'miniature', 'miniature display', 'miniature walls', 'miniature floor', 'stir stick crafts', 'north of the border', 'scary', 'horrifying', 'wererabbit', 'werewolf']"
52,"Becky G, Peso Pluma - Chanel (Official Video)",10,2642837,88901,0,NaN,2023-04-06T16:00:09Z,210,"['Becky Peso Pluma', 'Chanel', 'Kemosabe Records/RCA Records', 'Regional Mexican', 'Becky', 'peso pluma', 'becky peso pluma', 'chanel', 'chanel becky', 'becky peso pluma chanel', 'chanel lyric video', 'becky 2023', 'chanel letra', 'chanel lyrics', 'Shower', 'Arranca', 'Esquemas', 'El Alfa', 'Becky TikTok', 'Shakira', 'Sebastian Lletget', 'Karol']"
53,Brooks Koepka's Second Round | Every Single Shot | The Masters,17,418650,2147,0,NaN,2023-04-07T19:03:48Z,641,"['Masters', 'Tournament', 'Golf', 'Augusta', 'National', 'Club']"
54,Ok... Let's Talk,22,777793,51183,0,NaN,2023-04-06T19:42:51Z,1742,"['Shane', 'Dawson', 'conspiracy', 'theories', 'journalism', 'investigative journalism', 'docuseries', 'documentary']"
55,"LEGO, but AI controls what I BUILD...",24,2182098,35589,0,NaN,2023-04-06T16:48:47Z,442,"['lego', 'ai', 'artifical intelligence', 'lego meme', 'lego minifigure', 'lego set', 'lego sets', 'lego moc', 'lego mocs', 'lego creation', 'lego city', 'lego star wars', 'lego minecraft', 'lego challenge', 'lego tutorial', 'lego funny', 'lego but ai builds it for me', 'lego but ai', 'lego but artificial intelligence', 'lego artificial intelligence', 'lego ai', 'lego ideas']"
56,[STATION : NCT LAB] MARK 마크 'Golden Hour' MV,10,2233555,401593,0,NaN,2023-04-07T08:59:09Z,201,"['station', 'nct lab', 'nctlab', 'mark', 'golden hour', 'mv', '스테이션', '엔시티랩', '엔시티 랩', '마크', '골든아워', '뮤직비디오', '엔시티 127', '엔시티 드림', 'nct 127', 'nct dream', 'single', '싱글', 'fried egg', 'gorden ramsay']"
57,I played another 8 Souls-Like games you've never heard of (AGAIN),20,1517646,82654,0,NaN,2023-04-06T19:00:02Z,3252,"['soulslike', 'souls like', 'iron pineapple', 'dark souls', 'elden ring', 'gameplay', 'funny', 'co-op', 'review', 'guide', 'commentary']"
58,Lil Yachty - Strike (Holster) Official Audio,24,276044,23351,0,NaN,2023-04-07T04:00:00Z,149,NaN
59,My farewell,20,619745,37834,0,NaN,2023-04-07T20:05:11Z,502,"['bjergsen', 'tsm', 'tsm bjergsen', 'league of legends', 'bjergsen gameplay', 'Bjergsen highlights', 'bjergsen montage', 'bjergsen stream', 'bjergsen stream highlights', 'retirement', 'announcement', 'career']"
60,The Inside Guys Discuss Western Conference “Sleeper” Teams | NBA on TNT,17,483175,6422,0,NaN,2023-04-07T00:08:03Z,397,"['NBA on TNT', 'NBA', 'Inside the NBA', 'Charles Barkley', 'Shaq', 'Kenny Smith', 'Ernie Johnson']"
61,Lying during small talk just to act like you're normal.,23,1036085,128948,0,NaN,2023-04-06T23:56:09Z,108,NaN
62,Crotch Rocket with Paddle Tire in Sand Dunes!,22,1258412,39013,0,NaN,2023-04-06T23:59:25Z,1087,"['cboystv', 'yamaha', 'R6', 'sand dunes', 'paddle tire', 'slab city', 'city with no laws', 'crotch rocket', 'quads', 'dunes', 'jumps', 'funny', 'facebook marketplace', 'fail', 'dirt bike', 'dirt bike fail', 'dirt bike wheelie', 'crotch rocket fail', 'crotch rocket wheelie', 'Yamaha r6', 'honda cbr', 'trail riding', 'dirt bike trail riding', 'Yamaha yz250f', '2 stroke dirt bike', 'yz 125', '4 stroke', 'dirt bike jumps', 'crotch rocket fast', 'yamaha r1', 'yamaha r6', 'honda cbr600rr', 'cbr1000rr', 'Crotch Rocket with Paddle Tire in Sand Dunes!']"
63,100 Assassins vs 10 Real Cops!,20,9352196,323374,0,NaN,2023-04-05T18:00:02Z,517,NaN
64,Agust D '사람 Pt.2 (feat. 아이유)' Official MV,10,10994472,2119689,0,NaN,2023-04-07T03:59:12Z,270,"['HYBE', 'HYBE LABELS', '하이브', '하이브레이블즈']"
65,So I Confused My Minecraft Live Stream Again...,20,960811,18714,0,NaN,2023-04-06T18:01:38Z,1017,"['minecraft', 'mine craft', 'dream minecraft', 'funny', 'minecraft funny', 'minecraft challenge', 'spifey', 'minecraft manhunt', 'minecraft but', 'challenge', 'minecraft mod', 'modded minecraft', '100 players', 'minecraft survival', 'dream smp', 'minecraft map', 'minecraft trolling', 'minecraft troll', 'so i triggered my minecraft live stream', 'cursed minecraft', 'so I confused my Minecraft live stream', 'so i triggered my minecraft live stream again', 'so i confused my minecraft live stream again']"
