,title,category_id,views,likes,favorites,comments,date,duration,tags
23,[선공개] 분명 도레미 vs 세븐틴 집안 싸움이었는데...? 야생 그 잡채인 세븐틴 vs 세븐틴🤣#놀라운토요일 | amazingsaturday EP.261,24,212078,12978,0,NaN,2023-04-28T09:54:33Z,275,"['김동현', '넉살', '놀라운토요일', '놀토', '문세윤', '박나래', '붐', '세븐틴', '신동엽', '입짧은햇님', '키', '태연', '티빙에서스트리밍', '피오', '한해']"
24,"Stray Kids ""★★★★★ (5-STAR)"" Trailer",10,4004354,721828,0,NaN,2023-04-27T14:59:59Z,171,"['JYP Entertainment', 'Stray Kids', '스트레이 키즈', 'SKZ', '스키즈', '방찬', 'BANG CHAN', '리노', 'LEE KNOW', '창빈', '서창빈', 'CHANGBIN', 'SEOCHANGBIN', '현진', '황현진', 'HYUNJIN', 'HWANGHYUNJIN', '한', '한지성', 'HAN', 'HANJISUNG', '필릭스', 'FELIX', '승민', '김승민', 'SEUNGMIN', 'KIMSEUNGMIN', '아이엔', '양정인', 'I.N', 'YANGJEONGIN', 'stray kids comeback', '스트레이 키즈 컴백', '스키즈 컴백', 'skz comeback', '스트레이키즈 트레일러', '스키즈 트레일러', 'stray kids trailer', 'Stray Kids teaser', '스트레이 키즈 티저', 'skz', '5-STAR', '★★★★★', '스트레이 키즈 5STAR', '스키즈 5STAR', 'Stray Kids 5STAR', '5STAR', 'SKZ 5STAR', '5STAR 트레일러', '스키즈 별', 'stray kids star', 'skz star', '스트레이키즈 별']"
25,[헤어몬vlog] 일행 아닙니다.,24,363274,8998,0,NaN,2023-04-27T10:00:11Z,2158,"['헤어몬', '헤어몬 브이로그', '헤어몬브이로그', '브이로그', '먹방', '먹방브이로그', '먹방 브이로그', '반려동물', '라이프스타일']"
26,BABYMONSTER - 'Last Evaluation' EP.8,22,5038497,248114,0,NaN,2023-04-27T15:00:04Z,1548,"['BABYMONSTER', '베이비몬스터', '베몬', 'BABYMON', 'BAEMON', '하람', '아현', '루카', '치키타', '파리타', '로라', '아사', 'HARAM', 'AHYEON', 'RUKA', 'CHIQUITA', 'PHARITA', 'RORA', 'ASA']"
27,TAEYANG - ‘Shoong! (feat. LISA of BLACKPINK)’ PERFORMANCE VIDEO,10,27582880,NaN,0,NaN,2023-04-25T09:01:51Z,210,"['YG Entertainment', 'YG', '와이지', 'K-pop', 'BIGBANG', '빅뱅', 'TAEYANG', '태양', '동영배', '白夜', 'WHITE NIGHT', 'TBL', 'THEBLACKLABEL', 'SOL', 'PRAYER', 'SOLARL', 'VIBE', '바이브', '지민', 'Jimin', 'JIMIN', 'BTS', '방탄소년단', '박지민', '봄여름가을겨울', '달링', '눈코입', 'DARLING', 'WAKE ME UP', '새벽 1시', '1AM', 'RINGA LINGA', '링가 링가', '나만 바라봐', 'ONLY LOOK AT ME', ""I'LL BE THERE"", '웨딩드레스', 'I NEED A GIRL', 'WHERE U AT', 'comback', 'KPOP', 'K-POP', 'POP', '더블랙레이블', 'TEHBLACKLABEL', 'theblacklabel', 'blackpink', 'yg entertainment', 'LISA', '리사', 'sm entertainment', 'jyp entertainment', 'bts', 'big hit entertainment', '나의마음에', 'seed', 'DowntoEarth', 'M/V', 'EP', '나의 마음에']"
28,"[ENG SUB] 빠니보틀, 원지, 곽튜브 - 하와이 🎲✈│지구마불 세계여행 | TEO",24,934865,20355,0,NaN,2023-04-27T09:00:00Z,1782,"['김태호', 'teo', '부루마불', '지구마불', 'ena', '곽튜브', '빠니보틀', '원지의하루', '원지', '세계여행', '예능', '웹예능']"
29,이찬원 '풍등' Live Clip (2023 이찬원 콘서트 'ONE DAY'),10,167295,12756,0,NaN,2023-04-27T09:00:02Z,250,NaN
30,5월 31일 개봉 확정! [범죄도시3] 티저 예고편,24,872298,5736,0,NaN,2023-04-26T06:01:04Z,31,NaN
31,희철오빠 집들이가서 김밥30줄말기,24,549143,10984,0,NaN,2023-04-27T02:53:14Z,1251,"['풍자', '풍자테레비', '썰', '먹방', '쿡방', '게이', '트랜스젠더', '트젠', '젠더', 'BJ풍자', '희철', '서울살롱', '풍자애술', '집들이', '희철님']"
32,"[#유퀴즈온더블럭] ""모든 것이 과학?!"" 가위눌림도 조셉의 〈꼴값〉도 과학으로 해석해내는 #과학 커뮤니케이터 #궤도 자기님🌌 | #갓구운클립",24,488132,6999,0,NaN,2023-04-27T12:03:00Z,1170,"['diggle', 'tvN', '갓구운클립', '갓클립', '유재석', '유재석 웃참', '유재석 웃참 모음', '유재석 웃참 실패', '유재석 조세호', '유재석 조세호 웃긴', '유퀴즈', '유퀴즈 00회', '유퀴즈 다시보기', '유퀴즈 레전드', '유퀴즈 레전드 다시보기', '유퀴즈 레전드 모음', '유퀴즈 모음', '유퀴즈 모음집', '유퀴즈 웃참', '유퀴즈 일반인', '유퀴즈 일반인 레전드', '유퀴즈 하이라이트', '유퀴즈온더블럭', '유퀴즈온더블럭 다시보기', '유퀴즈온더블럭 레전드', '유퀴즈온더블럭 레전드 다시보기', '유퀴즈온더블럭 웃긴영상', '유퀴즈온더블럭 일반인', '유퀴즈온더블럭 하이라이트', '조세호']"
33,오이 끝도없이 주렁주렁 열리게 하는 이것 넣고 심어보세요#오이모종심기#오이심는방법#오이구덩이만들기#오이재배하는법#오이심는시기#오이병충해방제#오이지지대만들기#텃밭#친환경#무농약,22,288206,2584,0,NaN,2023-04-26T08:24:18Z,725,['km_20230426_1080p_30f_20230426_171518']
34,[백종원의 님아 그 시장을 가오_EP.21_철원] “이게 물회예요?” 철원에 물회 먹으러 갔다가 메뉴부터 고쳐주고 왔습니다,22,1090938,16415,0,NaN,2023-04-27T08:00:00Z,1011,"['눈', '봄', '겨울', '마을', '동네', '소리', 'ASMR', '새', '둥지', '내대2리', '문구점', '수퍼', '군부대', '추위', '유튜버', '군인', '지역', '상권', '부대', '치킨', '어르신', '젊은이', '식당', '호프', '바다', '산', '속초', '주문진', '오징어덕장', '미용실', '감성', '감자옹심이', '메밀', '칼국수', '원조', '현타', '미남', 'TV', '한치', '뿔소라', '특산물', '간부', '코로나', '배달', '족발', '아구찜', '참기름', '무침', '산더미', '메뉴판', '얼음', '칼', '배', '오이', '당근', '무', '고춧가루', '깨', '소금', '양념', '곱빼기', '소면', '국수', '밥', '국', '물', '육회', '고기', '술', '맥주', '카스', '거품', '을지로', '골뱅이', '식감', '재미', '손', '연습', '장난', '골목식당', '채칼', '사기', '추천', '맛집', '스트레스', '마무리', '매력', '장르', '다이어트', '식단', '건강', '열정', '먹부림', '미스터리', '숟가락', '예약', '멀미', '제작진', '성환식당', '애정', '아이디어', '매직', '새해', '소원', '대박', '별', '돈', '아이스크림', '빽다방', '밤', '손님', '소문', '길', '님아그만좀먹어다오', 'Snow', 'spring', 'winter', 'sound', 'bird', 'super', 'soldier', 'region', 'elderly', 'hope', 'ice', 'knife', 'pear', 'carrot', 'somen', 'rice', 'soup', 'scam', 'charm']"
