,id,title,category_id,views,likes,favorites,comments,date,tags
22,twegUggZHfY,[#강식당1] 장사는 처음이라 혼이 나간 멤버들… 전쟁같던 강식당 첫 영업 종료!ㅣEP2-06,24,108623,438,0,NaN,2017-12-12T14:45:40Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
23,6kcWMRrXMWI,[#강식당1] 강씨식당 파이팅~ 강호동 방송 최초 어머니와의 전화 통화!!!💗ㅣEP2-07,24,264918,1737,0,NaN,2017-12-12T15:02:20Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
24,fQtWcVAuN1Q,[#강식당1] 퇴근하고 메뉴 개발 생각뿐인 라면의 신 강호동🍜 그런데 아무도 안 들어주는 직원들...ㅣEP2-08,24,82466,183,0,NaN,2017-12-12T15:02:28Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
25,JcGvU7fwNgU,[#강식당1] 일단 비주얼은 완전 실격! 강호동의 비장의 신메뉴 등심라면 맛은?ㅣEP2-09,24,192060,605,0,NaN,2017-12-12T15:04:15Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
26,xbq2zaoYiAw,[#강식당1] 이름만 들어도 크기가 가늠되는 이수근까스의 탄생!⭐ㅣEP2-10,24,160436,554,0,NaN,2017-12-12T15:05:04Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
27,jxw1bGglDug,"[#강식당1] ""오늘도 살아남읍시다..."" 송민호의 ART로 시작하는 강식당 2일차 영업🌈ㅣ EP2-11",24,96713,339,0,NaN,2017-12-12T15:07:48Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
28,uEEVJhH73j0,"[#강식당1] ""오늘은 왜 세일을 80%나 하는 거예요?💸"" 가게 주인도 속을뻔한 이수근의 자체 세일ㅋㅋㅣEP2-12",24,337614,1536,0,NaN,2017-12-12T15:17:51Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
29,-JIhk68mRlQ,[#강식당1] 우린 복지가 없는 게 복지야~ NO복지 선언에 퇴사 욕구 차오르는 직원들ㅣEP2-13,24,539064,2025,0,NaN,2017-12-12T15:18:20Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
30,EjH_7cQ8nw0,[#강식당1] 가장 차분했던 안재현도 긴장한 강식당 2일차 오픈 준비…!💦ㅣEP2-14,24,127689,373,0,NaN,2017-12-12T15:22:05Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
31,wLi-t42iX7E,[#강식당1] 안 바쁜 사람 하나 없는 강식당... 홀과 주방의 신경전🔥ㅣEP2-15,24,214712,858,0,NaN,2017-12-12T15:26:10Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
