,title,category_id,views,likes,favorites,comments,date,tags
26,[FULL영상] 연애의 참견2 다시보기 | EP.46,24,320781,1468,0,Nan,2019-10-30T07:00:02Z,"['KBSN', '연애의 참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
27,[FULL영상] 연애의 참견2 다시보기 | EP.45,24,536052,2065,0,Nan,2019-10-23T07:00:05Z,"['KBSN', '연애의참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
28,[FULL영상] 연애의 참견2 다시보기 | EP.44,24,619781,2379,0,Nan,2019-10-16T07:00:00Z,"['KBSN', '연애의 참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
29,[FULL영상] 연애의 참견2 다시보기 | EP.43,24,419403,1751,0,Nan,2019-10-09T09:00:08Z,"['KBSN', '연애의 참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
30,[FULL영상] 연애의 참견2 다시보기 | EP.42,24,303723,1122,0,Nan,2019-10-02T07:48:56Z,"['KBSN', '연애의 참견2 다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
31,[FULL영상] 연애의 참견2 다시보기 | EP.41,24,349166,1378,0,Nan,2019-09-25T07:00:01Z,"['KBSN', '연애의참견2', '다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
32,[FULL영상] 연애의 참견2 다시보기 | EP.40,24,385911,1592,0,Nan,2019-09-18T07:00:08Z,"['KBSN', '연애의 참견2', '다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
33,[FULL영상] 연애의 참견2 다시보기 | EP.39,24,473863,1836,0,Nan,2019-09-11T07:00:03Z,"['KBSN', '연애의참견2', '다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
34,[FULL영상] 연애의 참견2 다시보기 | EP.38,24,606244,2626,0,Nan,2019-09-05T05:54:49Z,"['KBSN', '연애의참견2', '다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
35,[FULL영상] 연애의 참견2 다시보기 | EP.37,24,458680,1753,0,Nan,2019-08-30T04:26:41Z,"['KBSN', '연애의참견2', '다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
